moderatly,moderately
moderatrix,moderator
morall,moral
murther,murder
murthered,murdered
murthers,murders
mutuall,mutual
namly,namely
naturall,natural
needfull,needful
neeks,necks
neighbouring,neighboring
neighbours,neighbors
neight,night
nero,Nero
nilus,Nile
notwitstanding,notwithstanding
nourisheth,nourishes
obeyeth,obeys
obstinat,obstinate
occureth,occurs
occurre,occur
oll,all
opprove,approve
ormedling,meddling
ostentative,ostentatious
overturne,overturn
paines,pains
papary,papacy
paraphrastical,paraphrastic
paris,Paris
patterne,pattern
paul,Paul
pauls,Paul's
pelagius,Pelagius
performe,perform
performeth,performs
perhapst,perhaps
perpetrat,perpetrate
perpetuall,perpetual
perrill,peril
persians,Persians
personat,personate
personsl,personal
perswade,persuade
perswaded,persuaded
perswasion,persuasion
perswasive,persuasive
pertinacy,pertinency
perty,pretty
pestilentious,pestilential
philip,Philip
plaintife,Plaintiff
plaister,plaster
plato,Plato
pleaseth,pleases
politik,politic
popedome,popedom
pourtrayed,portrayed
powerfull,powerful
poynt,point
poyson,poison
practised,practiced
prave,depraved
preceeding,preceding
preceive,perceive
preceps,precepts
preferre,prefer
preheminence,preeminence
prevaile,prevail
prevaileth,prevails
privat,private
priviledge,privilege
priviledges,privileges
proceded,proceeded
proclaimeth,proclaims
proclame,proclaim
profer,proffer
prolixe,prolix
promiseth,promises
promoved,promoted
proofe,proof
publick,public
publickly,publicly
pupills,pupils
quarrell,quarrel
rable,rabble
recapitulat,recapitulate
reduceth,reduces
reigne,reign
remaineth,remains
remembred,remembered
repente,repent
replyed,replied
reseinded,rescinded
resigne,resign
resisteth,resists
returne,return
righly,rightly
rigour,rigor
robert,Robert
rome,Rome
royall,Royal
ruines,ruins
ruleth,rules
rustick,Rustic
sadless,saddles
sailes,sails
samuel,Samuel
satiat,satiate
satyres,Satires
sawce,sauce
sayes,says
schoole,school
schooles,schools
scotland,Scotland
scriptur,Scripture
seeme,seem
seemes,seems
seemeth,seems
seing,seeing
selfe,self
seneca,Seneca
separat,separate
setled,settled
setleth,settles
severall,several
sexe,sex
shaddow,shadow
shal,shall
shamfully,shamefully
shewes,shows
sheweth,shows
shipwrack,shipwreck
shoares,shores
signes,signs
skilfull,skillful
